rank,title,rating_star,rating_score,comments
192,牯岭街少年杀人事件,45,8.9,328113
193,爆裂鼓手,45,8.7,621031
194,恐怖游轮,45,8.5,916924
195,东京教父,45,9.0,254589
196,魔女宅急便,45,8.7,487907
197,大佛普拉斯,45,8.7,502476
198,贫民窟的百万富翁,45,8.6,772165
199,遗愿清单,45,8.7,492910
200,东邪西毒,45,8.6,600390
201,末路狂花,45,8.9,290496
202,你看起来好像很好吃,45,8.9,349789
203,可可西里,45,8.9,319946
204,源代码,45,8.5,871955
205,城市之光,45,9.3,157227
206,黑天鹅,45,8.6,808051
207,海边的曼彻斯特,45,8.6,589213
208,疯狂的麦克斯4：狂暴之路,45,8.7,572815
209,波西米亚狂想曲,45,8.6,642628
210,真爱至上,45,8.5,765305
211,雨人,45,8.7,420698
212,青蛇,45,8.6,552915
213,爱乐之城,4,8.4,1001861
214,初恋这件小事,45,8.5,1009077
215,芙蓉镇,45,9.3,158699
216,终结者2：审判日,45,8.8,358308
217,人工智能,45,8.7,468682
218,虎口脱险,45,8.9,272817
219,恋恋笔记本,45,8.5,705675
220,新龙门客栈,45,8.7,468902
221,无耻混蛋,45,8.7,508377
222,花束般的恋爱,45,8.6,702665
223,罗生门,45,8.8,332662
224,高山下的花环,5,9.5,113538
225,崖上的波妞,45,8.6,530903
226,千钧一发,45,8.8,320265
227,彗星来的那一夜,45,8.6,623176
228,哈利·波特与死亡圣器(上),45,8.6,618947
229,白日梦想家,45,8.6,550091
230,萤火虫之墓,45,8.7,418812
231,黑客帝国2：重装上阵,45,8.7,425858
232,奇迹男孩,45,8.6,572120
233,火星救援,45,8.5,773622
234,二十二,45,8.7,301488
235,战争之王,45,8.7,388243
236,血钻,45,8.7,398191
237,哈利·波特与凤凰社,45,8.5,614517
238,步履不停,45,8.8,296105
239,千年女优,45,8.8,289784
240,大红灯笼高高挂,45,8.8,312937
241,房间,45,8.8,381716
242,魂断蓝桥,45,8.8,292221
243,谍影重重2,45,8.7,371128
244,蜘蛛侠：平行宇宙,45,8.6,706367
245,弱点,45,8.7,330587
246,谍影重重,45,8.6,451176
247,阿飞正传,45,8.5,536763
248,朗读者,45,8.6,468593
249,隐藏人物,45,8.9,236184
250,再次出发之纽约遇见你,45,8.6,445768
